Issue Type,Summary,Description,Status,Updated,Created,Comments,Comments.1,Comments.2,Comments.3,Comments.4,Comments.5,Comments.6,Comments.7,Comments.8,Comments.9,Comments.10,Comments.11,Comments.12,Comments.13,Issue key,Issue id,hours
Story,[CL][PPL][Loreal][Estimacion Agregar un nuevo tag],"RUT: 79.693.930-3

Integración: Mixto

Estimado se solicita estimar agregar un nuevo tag a los documentos : Factura Afecta Factura Exenta, ND, NC.

Cliente propone enviar el dato en la columa destacada en amarillo





adicionalmente, adjunto SRform.

En caso requerir informacion adicional favor indicar.",To Do,8/8/2025 9:13,8/7/2025 20:09,"08/Aug/25 9:13 AM;5ebc5bd3f235020b843a89ef;[~accountid:61bbc05a2900b00071e8b5cc] , Esto seria a nivel de impresion detalle?",,,,,,,,,,,,,,CESQ-4002,2759115,0
Research & Design,[Peru] - [Nestle] - Estimación HH Nuevo Campo Reporte Gestión Documental Recibidos,"*Nombre Empresa*: Nestle Perú SAC
*RUC*: 20263322496
*Producto*: PPL
*Tipo de Integración*: WS
*Salesforce*: Work Estimations

*Requerimiento*:

Se solicita estimar las HH para poder agregar tres campos nuevos al reporte que se descarga desde la opción de Gestión Documental para los documentos Recibidos.

Los campos son:

||*Nuevos Campos*||*XML*||
|Orden de Compras||
|Descripción Producto||
|Monto de Detracción||

El cambio se realizará en el eServer.",Complete,8/7/2025 18:29,7/24/2025 13:25,25/Jul/25 12:18 PM;5ebc6317a39bb50bb1441398;[~accountid:5ebc58b49ce9ee0b89bb088f] Favor adjuntar XML para tener claridad si son campos aislados o campos de un detalle. Por otro lado estos 3 campos deberian ir en una columna o cada campo tener su columna?-.,"05/Aug/25 6:20 PM;5ebc58b49ce9ee0b89bb088f;Hola [~accountid:5ebc6317a39bb50bb1441398] , nos han adjuntado un XML y Doc, te lo subo:

[^20606748176_1_E001-2004.xml] [^20606748176_1_E001-2004.docx]

Cualquier consulta quedo atento.","07/Aug/25 6:29 PM;5ebc6317a39bb50bb1441398;||*TASK*|| || ||
|DEV|19 H| |
|pruebas|3 H| |
|gen. filtro|2 H| |
|TOTAL|24 H| |

Se aclaro que solo es para tipo DOC Factura

siempre viene un valor para los 3 tag indicados

para los 3 tags nuevos se debe agregar una columna para cada valor soliciado.",,,,,,,,,,,,CESQ-3997,2738879,48
Story,CHILE - EXCON - ESTIMACION HHS MIGRACION XML A PLATAFORMA SOVOS EMPRESA EMEX,"*Empresa:* CONSTRUCTORA EMEX LIMITADA
*Rut:* 76673430-8
*Integracion:* FULL ASP (filtro full , generacion por WS, generacion manual )
*Descripcion*
Por solicitud de cliente se requiere estimar hhs de trabajo para migracion de xml (emitidos- recibidos) desde su proveedor actual Iconstruye a Sovos PPL para que puedan ser visualizados en plataforma.

*Consideraciones*

* Empresa actualmente instalada en Retail2
* Volumetria entregada por cliente : Alrededor de 45.000 documentos entre emisión y recepción
* Se entrega de XML de muestra enviado por cliente (emision- recepcion)
* Cliente entregara XMLs, mediante correo electronico y/o una carpeta en drive (dependiendo de la volumetria Iconstruye ocupa uno de estos metodos)


[^XML_ejemplos.rar]",Complete,7/23/2025 15:56,7/23/2025 13:30,"23/Jul/25 3:56 PM;5ebc596086d01b0b7d52c146;Ronald

Esto no corresponde a customizacion sino a PSTC

Pero adjunto las horas, importante item migracion xml contempla la descarga copia a servidor sovos y procesar esos xml

|ACTIVIDAD|HH|
|Migracion xml|5|
|Entrega archivo migrados|1|
|Revision xml para migracion|1|
|Total|7|",,,,,,,,,,,,,,CESQ-3992,2737121,7
Story,[PE][PRD][megacentro-mibodega][estimacion filtro personalizado],"*Impact/Scope or issue:*

El cliente requiere implmentar factura afecta con filtro personalizado

|RUT|RAZON SOCIAL|
|76156598-2|Mi Bodega|

Full ASP Sovos - Ambiente dedicado",Complete,7/22/2025 18:26,7/21/2025 15:37,"22/Jul/25 2:18 PM;5ebc5bd3f235020b843a89ef;[~accountid:61bbc05a2900b00071e8b5cc] , Necesitamos detalle de como es el archivo de entrada.",22/Jul/25 6:26 PM;5ebc5bd3f235020b843a89ef;Segun lo conversado este es filtro full por lo que no requiere desarrollo,,,,,,,,,,,,,CESQ-3989,2733792,0
Story,CL- ESTIMACIÓN - NUESTROS PARQUES - INCLUIR VALIDACIÓN DE CORRELATIVO DEL CLIENTE,"h2. Filtro

Quién lo solicita?:
Nombre Empresa: NUESTROS PARQUES
NIT/RUT/RUC:
76243831-3 - FUNERARIA NUESROS PARQUE SPA
96835970-3 - INMOBILIARIA PARQUE DE LA SERENA SPA
96844000-4 - INMOBILIARIA PARQUE LA FLORIDA SPA
96885180-2 - ADMINISTRADORA DEL PRADO Y LA FORESTA SPA
Producto: ASP
Tipo de Integración: FULL ASP
PM asignado (si existe): [~accountid:5ebc5b659ce9ee0b89bb1a90]
Salesforce: ESTIMACIÓN
Tarea: N/A

Qué solicita?:
Descripción (Que, para qué):

# En los documentos generados por el cliente, tiene un correlativo interno (diferente al folio) definido como numero de cupón que necesita pueda ser validado antes de la emisión de sus documentos.
# Si se detecta que este numero de cupón está duplicado no debe permitir emitir su documento.
# En la integración que se está desarrollando para este cliente, su emisión por BO a través de BO y emisión masiva es por un filtro personalizado.
# Como referencia, ya se había validado el desarrollo antes de esta solcitud en este ticket: [https://sovos.atlassian.net/browse/CESQ-3937|https://sovos.atlassian.net/browse/CESQ-3937|smart-link]

Saludos,",Complete,7/22/2025 16:37,7/10/2025 16:35,"10/Jul/25 4:39 PM;5ebc596086d01b0b7d52c146;Hugo

Como es la emision ? no me quedo claro , favor de detallar de forma mas especifica pues depende de eso o cuantas son las formas la evaluacion que podemos entregar","14/Jul/25 4:43 PM;5ebc5b659ce9ee0b89bb1a90;Hola Cristobal,

La emisión por el BO es a través de una trama personalizada.

En por dos formas, un WS que debe aceptar la trama personalizada o por shared forlder, donde la trama también es personalizada.



Saludos,

CC: [~accountid:5ebc5f447dab3a0bb46be72f]","22/Jul/25 4:37 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5b659ce9ee0b89bb1a90] , Las HH son:

|ACTIVIDAD|HH|
|Validar mediante un tag duplicidad antes de emitir (WS y SHFOLDER)|20|
|Toma de Requerimientos (Reuniones con SC)|1|
|Revisión de código|1|
|Pruebas Unitarias|4|
|Compilación y aprobación de código|1|
|*TOTAL*|*27*|",22/Jul/25 4:37 PM;5ebc5bd3f235020b843a89ef;Se envio lo solicitado,,,,,,,,,,,CESQ-3977,2717968,54
Task,[CHILE] - [RIPLEY] - Estimación HHs Migración eGW BO eCommerce A Cloud Cliente,"*Nombre Empresa*: Holding Ripley
*Rut*: Todos
*Tipo de Integración*: Mixto BO eCommerce

*Descripcion*:
Se solicita estimar la migración del eGW BO eCommerce que funciona con emisión MTO-online Ripley a Nube Cliente, considerando:

QA:

* Creacion Servidor Nuevo eGW BO QA Cloud Sovos → Ripley
* Instalacion Plataforma + BBDD ((ultimo release estable + ultimo posgresql) → TC
* Migracion/Revision configuraciones plataforma + BBDD (Posgresql) + Plantillas + filtros para habilitar empresas del holding en nuevo eGW → TC
* Apoyo en pruebas → TC

PROD:

* Creacion Servidor Nuevo eGW BO PROD Cloud Sovos → CLE -Desarrollo
* Instalacion Plataforma + BBDD ((ultimo release estable + ultimo posgresql) → CLE
* Creacion nueva URL plataforma https para entregar a cliente → CLI
* Migracion configuraciones + bbdd (Posgresql) + plantillas + Folios para habilitar empresas del holding en nuevo eGW → TC
* Apoyo con creacion de plan cutover → TC
* Paso a Productivo → TC
* Hypercare → TC

Consideraciones

* Migracion solo involucrara procesos de Emision, la recepcion sera llevada por solucion Acepta
* Comuncacion entre GW y Server debera hacerse por https
* Base de dato de GW de cliente es Posgresql
* Para QA no considerar migracion de documentos ni Folios
* Ripley cuenta con BO con filtro personalizado (existen archivos xsl y jar) , se generará ticket CESQ para analizar posibles trabajos a realizar.

Por favor agregar tareas adicionales de considerarlo necesario , Quedo atento a dudas",Complete,7/10/2025 16:37,7/9/2025 16:42,"10/Jul/25 4:37 PM;5ebc596086d01b0b7d52c146;Carlos entenderia que este ticket es si se necesitara algun ajuste luego del cambio de servidor de las componentes personalizadas de cliente, si es asi dejar una holgura de 20 hh para dev customizado

saludos",,,,,,,,,,,,,,CESQ-3976,2716148,20
Research & Design,[SpaceX][COL] - Estimación de HH por desarrollo personalizado para el Reporte CSV de Gestión Documental - nuevo campo Descripción Rechazo,"*Nombre Empresa*: Starlink Colombia S.A.S. - SpaceX
*NIT/RUT/RUC*: 9013968811
*Producto*: FACTURA ELECTRONICA
*Tipo de Integración*: COAPI - Full ASP (ASP401)
*Salesforce*: Work Estimations

*Requerimiento?*:

El cliente SpaceX Colombia (Starlink) solicita agregar un nuevo campo al reporte personalizado de documentos expedidos (archivo.CSV) que se descarga desde el módulo de Gestión Documental de la plataforma ASP401. El nuevo campo sería la *descripción del motivo de rechazo*, cuando el documento emitido es rechazado por DIAN.

El reporte a modificar es el que se descarga desde:



La nueva columna se añadira como ultima columna al reporte descargado.",Complete,7/10/2025 11:36,7/7/2025 22:15,"08/Jul/25 11:30 AM;5ebc596086d01b0b7d52c146;Carlos

Hola como estas , todos los motivos? ejemplo




separados por algo , como seria la salida en ese caso en particular?","10/Jul/25 8:18 AM;70121:32a4c72d-d388-4214-b796-05991097e00c;[~accountid:5ebc596086d01b0b7d52c146] Seria mostrar en el reporte solo el error del rechazo que se obtiene de las respuesta de la DIAN. Las notificaciones no son necesarias.



Ejemplo: _Regla CDG01, Rechazo: El Codigo del departamento no coincide con el del municipio_",10/Jul/25 9:44 AM;5ebc596086d01b0b7d52c146;ok Eric lo estimo en breve,"10/Jul/25 11:35 AM;5ebc596086d01b0b7d52c146;Adjunto las horas



|ACTIVIDAD|HH|
|Desarrollo filtro personalizado reporte|30|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|1|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|2|
|TOTAL|40|
| | |
| | |
|ACTIVIDAD|HH|
|Instalacion jar uat|1|
|Instalacion jar PRD|1|
|Apoyo pruebas |2|
|Soporte|1|
|Total|5|",,,,,,,,,,,CESQ-3975,2707414,40
Story,CHILE - DERCO- ESTIMACION HHS MODIFICACION FILTRO PARA PASAR DE FTP A SFTP,"*Empresa:* Holding Derco
*Integracion*: Mixto BO

*Descripcion*
Se solicita revisar filtro de grupo y estimar hhs para modificar la entrega de documentos recibidos a cliente , el cual actualmente opera por protocolo FTP y pasara a operar por SFTP

Ej. Configuracion en bbdd:




*Consideraciones*
Ultimo filtro operativo en GW BO PRD entregado en ticket (CESQ-3954)
Filtro actual operando en Linux, por nueva integracion pasara a trabajar en SSOO windows
Considerar Instalacion en ambiente QA y PRD
Considerar apoyo en plan cutover
Considerar apoyo en pruebas


**Validar si cambio afecta a otras tareas en filtro",Complete,7/31/2025 18:06,7/7/2025 13:52,"07/Jul/25 5:45 PM;5ebc6317a39bb50bb1441398;||*TASK*||*HH*||
|Cambios en filtro + protocolo SFTP|30|
|Pruebas Unitarias|10|
|Meet tareas del filtro|1|
|Generacion de filtro y revision de codigo|5|
|*TOTAL*|*46*|","14/Jul/25 5:48 PM;5ebc59e0ed4a650b8e7ebd9d;Hola [~accountid:5ebc6317a39bb50bb1441398] por razones del negocio del cliente se ha reducido la cantidad de RUTs de alcance.

*Debe ser*: 7 RUTs de los 15 RUTs (inicialmente definidos).

Favor nos comentas si este cambio implicará un ajuste en la cubicación de hhs (esfuerzos).",14/Jul/25 6:20 PM;5ebc6317a39bb50bb1441398;[~accountid:5ebc59e0ed4a650b8e7ebd9d] el cambio es transversal por lo que 7 o 15 no hacen diferencia.,,,,,,,,,,,,CESQ-3973,2706845,46
Research & Design,[HPI][PERU] Estimación de HH por modificación de filtro para agregar nueva sección de Retención DR,"*Nombre Empresa*: HP Inc Peru
*NIT/RUT/RUC*: 20600216512
*Producto*: FACTURA ELECTRONICA
*Tipo de Integración*: Full ASP
*Salesforce*: Work Estimations

*Qué solicita?*:

El cliente HP Inc Perú solicita agregar 10 nuevos campos para su filtro personalizado los cuales pertenecen a la sección DR para informar los datos de la retención. Estos campos se encuentran especificados en el archivo de intercambio, sección DR. Por favor, se solicita la estimación de HH para el desarrollo y pruebas de este requerimiento.

*Campos por agregar mapeo*:





Cualquier duda quedo atento

Muchas gracias por su apoyo.

Saludos",Complete,6/25/2025 13:54,6/24/2025 18:45,"24/Jun/25 7:12 PM;5ebc6317a39bb50bb1441398;[~accountid:5ebc5c856c84140b9ebf831e] indico estimacion. Al momento de crear ticket adjuntar tramas de generacion para pruebas.

|ACTIVIDAD|HH|
|Desarrollo solicitado |16|
|Toma de Requerimientos (Reuniones con SC)|2|
|Pruebas Unitarias|4|
|Compilación y aprobación de código|2|
|*TOTAL*|*24*|","25/Jun/25 1:54 PM;5ebc5c856c84140b9ebf831e;Hola Víctor, muchas gracias por el apoyo,

Saludos",,,,,,,,,,,,,CESQ-3969,2692279,48
Story,[CHILE]-[CHILQUINTA] - Estimación HH para rediseño de Boleta de energía 5 empresas,"*Empresas*:

* RUT: 96813520-1	Chilquinta Distribución
* RUT: 91344000-5	Litoral
* RUT: 96766110-4	Casablanca
* RUT: 96884450-4	Luzlinares
* RUT: 96866680-0	Luzparral

*Producto*: Paperless
*Tipo de Integración*: INHOUSE
*Documento de alcance*: Boleta
*Descripción*:
Se solicita estimar el ajuste en la zona de mensajes ubicada en la segunda hoja, entre el “*Total a pagar*“ y “*Que significa lo que estoy pagando*“, de manera que se iguale a la versión impresa en papel del documento.

* Boleta en formato PDF generado por SOVOS:



* Boleta en formato en papel generado por otra empresa:



*Consideraciones*

* Servidores Afectados : Chilquinta y Filiales
* Considerar cambios a realizarse en ambiente QA y PRD
* Considerar acompañamiento en pruebas",Complete,6/19/2025 17:37,6/18/2025 21:58,"19/Jun/25 5:37 PM;5ebc6317a39bb50bb1441398;[~accountid:5ebc58b49ce9ee0b89bb088f] Considerar que la imagen del otro cliente tiene un diseño diferente, los textos se pueden ajustar si existe el espacio y no se envian más mensajes de los que el espacio puede soportar.

||*TASK*||*HH por RUT*||*TOTAL*||
|Cambio Filtro|2|2|
|Cambio en template PPL|6|30|
|Instalacion QA-PROD|2|4|
|Meet ajustes SC-PM|1|1|
|*TOTAL*| |*37*|",,,,,,,,,,,,,,CESQ-3964,2687329,2
