Summary,Description,Status,Updated,Created,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Issue key,Issue id
[CL][PPL][Estimacion][Alsea - Regularizacion Gateway POS QA + Autenticacion de POS QA],"*Empresas*: STARBUCKS COFFEE CHILE S.A., FAST FOOD CHILE S.A., ESTABLECIMIENTOS GASTRONOMICOS ASIAN FOOD CHILE LTDA., GASTROCOCINA SUR SPA.
*Ruts*: 96690980-3, 76414061-3, 76149435-K, 76545598-7
*Integracion*: Mixto POS , Generacion Manual 

Contexto: Cliente indica que realizó cambio por su lado al gateway POS QA, realiza pruebas de emisión desde un ePOS QA y este arroja time out.

Requerimiento: Se solicita estimar HH necesarias para:

* Regularizar el GW POS QA del cliente, considerar homologar las configuraciones actualmente existentes en el ambiente de producción, revisión y regularización de controller y agentes asociados al proceso de emission.
* Acompañamiento para lograr autenticar 1 ePOS QA y que emita correctamente

Quedamos atentos

Saludos!",Backlog,08/Aug/25 1:16 PM,08/Aug/25 1:16 PM,,,,,,,,,,PSTC-28036,2760283
 [PL][PLL][Loreal][Estimacion Agregar un nuevo tag],"RUT: 79.693.930-3

Integración: Mixto

Estimado se solicita estimar agregar un nuevo tag a los  documentos : Factura Afecta Factura Exenta, ND, NC.

# Agregar al PDF una columna adicional entre P. Catálogo y Desc. Est. Que tentativamente se llamaría Desc. Log. (descuento logístico)
# Que la columna sea dinámica. Cuando el descuento sea ""0"" para todos los ítems, no agregar la columna o mantener el layout actual.

!image-20250808-001146.png|width=693,height=401,alt=""image-20250808-001146.png""!

* Considerar HH para instalar filtro, instalar plantillas , testing y estabilización.",Backlog,08/Aug/25 11:11 AM,07/Aug/25 8:13 PM,,,,,,,,,,PSTC-28032,2759116
"CHILE - ESTIMACION - SERVICIOS GESAT - HABILITACION MODULOS RECLAMACIONES, CESION, LIBROS CONTABLES Y RECEPCION AVANZADA EN 2 NUEVAS SOCIEDADES","h2. Descripción

CLIENTE: SERVICIOS GESAT 
RUTs:
FRUTAS DEL NORTE (CHILE ) S A            -   RUT: 99.533.040-7
INMOBILIARIA PUNTA DEL SOL LTDA   -   RUT: 78.364.190-9
SERVIDOR: Retail4
Ambiente: QA
Salesforce*:* *ADMIN*
Tarea: Work Estimation

DETALLE:
Estimados, cliente GESAT solicita la estimación por la habilitación de los siguientes módulos adicionales en las nuevas sociedades que quiere subir a Sovos, las que se encuentran individualizadas más arriba:

* Cesión 
* Libros Contables
* Recepción Avanzada y 
* Reclamaciones

Gracias.",Done,06/Aug/25 12:26 PM,05/Aug/25 12:56 PM,05/Aug/25 5:53 PM;5ebc5e6cad226b0ba456526d;Se necesitan 6 hh en total para realizar la habilitacion de los modulos.,,,,,,,,,PSTC-28001,2755179
[MX][Estimacion][Reachcore][Zurich Santander] Estimate for 3 custom PDF development,"[^Ejemplo PDF CFDI EGRESO EXTRANJERO.pdf]
[^Ejemplo PDF CFDI Pago Nacional.pdf]
[^Ejemplo PDF CFDI Pago Extranjero.pdf]
[^Ejemplo PDF CFDI INGRESO NACIONAL.pdf]
[^Ejemplo PDF CFDI INGRESO EXTRANJERO.pdf]
[^Ejemplo PDF CFDI EGRESO NACIONAL.pdf]
[^Definicion PDF CFDI PAGO.xlsx]
[^Definicion PDF CFDI INGRESO.xlsx]
[^Definicion PDF CFDI EGRESO.xlsx]



Customer: Zurich Santander

Plataforma: Reachcore

Servicio/Product: Emisión



Request: Desarrollar 3 diseños de PDF adjuntos (Excel) con 2 ejemplos cada uno (PDF)



* Para CFDI de Ingreso

** Definicion PDF CFDI INGRESO.xlsx – Contiene la plantilla propuesta para la generación del PDF de Ingreso.

*** Pestaña PDF CFDI Ingreso – Plantilla con el formato propuesto para Ingreso.
*** Pestaña PDF Ingreso Ejemplo Nacional – Ejemplo de CFDI de Ingreso para Receptor Nacional.
*** Pestaña PDF Ingreso Ejemplo Extranj - Ejemplo de CFDI de Ingreso para Receptor Extranjero.

** Ejemplo PDF CFDI INGRESO EXTRANJERO.pdf – Ejemplo en formato PDF de como esperamos luzca el CFDI de Ingreso para Receptor Extranjero.
** Ejemplo PDF CFDI INGRESO NACIONAL.pdf – Ejemplo en PDF de CFDI Ingreso para Receptor Nacional.

* Para CFDI de Egreso

** Definicion PDF CFDI EGRESO.xlsx – Contiene la plantilla propuesta para la generación del PDF de Egreso.

*** Pestaña PDF CFDI EGRESO– Plantilla con el formato propuesto para Egreso.
*** Pestaña PDF EGRESO EJEMPLO NACIONAL– Ejemplo de CFDI de Egreso para Receptor Nacional.
*** Pestaña PDF EGRESO EJEMPLO EXTRANJERO- Ejemplo de CFDI de Egreso para Receptor Extranjero.

** Ejemplo PDF CFDI EGRESO EXTRANJERO.pdf – Ejemplo en formato PDF de como esperamos luzca el CFDI de Egreso para Receptor Extranjero.
** Ejemplo PDF CFDI EGRESO NACIONAL.pdf – Ejemplo en PDF de CFDI Egreso para Receptor Nacional.

* Para CFDI de Pago

** Definicion PDF CFDI PAGO.xlsx – Contiene la plantilla propuesta para la generación del PDF de Pago.

*** Pestaña PDF CFDI Pago– Plantilla con el formato propuesto para Pago.
*** Pestaña PDF Pago Ejemplo Nacional– Ejemplo de CFDI de Pago para Receptor Nacional.
*** Pestaña PDF Pago Ejemplo Extranjero- Ejemplo de CFDI de Pago para Receptor Extranjero.

** Ejemplo PDF CFDI Pago Extranjero.pdf – Ejemplo en formato PDF de como esperamos luzca el CFDI de Pago para Receptor Extranjero.
** Ejemplo PDF CFDI Pago Nacional.pdf – Ejemplo en PDF de CFDI Pago para Receptor Nacional.",Done,08/Aug/25 1:17 PM,30/Jul/25 3:52 PM,"08/Aug/25 1:17 PM;6317db979794410874c743c8;[~accountid:5ebc59e0ed4a650b8e7ebd9d] , [~accountid:602f01ecdb8be9006919d91c] , Anexo la estimación solicitada de acuerdo a las plantillas requeridas.

|Actividad|HH|
|Reuniones de definicion y revisión|1|
|Creación de Templates
* Complemento de Pago- Nacional/Extranjero
* Egreso - Nacional / Extranjero
* Ingreso - Nacional/Extranjero|66|
|Ajuste de pruebas y muestras|4|
|Carga de Templates al ambiente de UAT|2|
|Actualizacion en los ambientes de PRD|2|
| | |
|Total|75|

Cualquier duda quedo a sus ordenes.



saludos",,,,,,,,,PSTC-27937,2747626
[MX][Estimacion][Invoiceware][Laboratorios Grin] RTC migration,"Cliente: Laboratorios Grin, S.A. de C.V

Producto: Invoiceware

Servicio: SAP integration



El cliente realizará una migración de servidores de RTC y quiere apoyo para validar y configurar si aplica el RTC posterior a la migración del servidor, garantizando la comunicación a SAP y a Sovos Cloud.



Su apoyo para estimar el esfuerzo necesario para realizar la validación/configuración del RTC posterior a la migración.



Fecha de migración: aún por definir, el cliente espera nuestro feedback



*Original customer request:*

RTC servers hosted in Datacenter in India will be migrated to new DC also in India. Tech Team is requesting

Sovos validation after Migration is done and configuration if needed",Done,30/Jul/25 11:05 AM,14/Jul/25 7:28 PM,"23/Jul/25 7:27 PM;6317db979794410874c743c8;Se anexa la estimacion correspondiente

Si solo van a mover las maquinas de un centro de datos a otro se estima lo siguiente

|Actividad|HH|
|Validacion de 2 ambientes de RTC, OAT y PRD|10|
|Pruebas de documentos |2|
| | |
|Total|12|

Si se van actualizar las versiones de sistemas operativos y SQL Express

|Actividad|HH|
|Instalacion de prerrequisitos y componentes necesarios para el correcto funcionamiento del RTC de OAT, instalacion de SQL Express 2019. migracion de base de datos o reconfiguracion completa|20|
|Instalacion de prerrequisitos y componentes necesarios para el correcto funcionamiento del RTC de PRD, instalacion de SQL Express 2019. migracion de base de datos o reconfiguracion completa|20|
|Pruebas de documentos |4|
| | |
|Total|44|

Saludos","29/Jul/25 10:34 PM;602f01ecdb8be9006919d91c;Hola [~accountid:6317db979794410874c743c8] 

El cliente confirma la siguiente información



# Domain will remain the same
# RTC servers are Virtual Machines, both Production and LRQ (UAT)
# Migration is only to a new Data Center.
# India will copy machines to new infrastructure
# Need you to validate communication between SAP and RTC (idoc) and RTC with your servers.

Me ayudas a confirmar si esto cambia la estimación, por favor.","30/Jul/25 11:05 AM;6317db979794410874c743c8;[~accountid:602f01ecdb8be9006919d91c] este seria la estimación aplicable

Si solo van a mover las maquinas de un centro de datos a otro se estima lo siguiente

|Actividad|HH|
|Validacion de 2 ambientes de RTC, OAT y PRD|10|
|Pruebas de documentos |2|
| | |
|Total|12|

Saludos",,,,,,,PSTC-27818,2725159
[MX][Estimacion][CN-SAP][Tiger Coating] PDF template development,"Cliente: Tiger Coating

Producto: Compliance Network

Servicio: Sovos eInvoice – SAP SOVOS O 



Su apoyo por favor para estimar el desarrollo de la plantilla PDF, se adjuntan 2 ejemplos.

La implementación es SAP SOVOS O, por lo que la plantilla se tiene que desarrollar para Compliance Network.



[^TDM0101165P6 8940105173.pdf]
[^TDM0101165P6_8940105528.pdf]

",Done,15/Jul/25 7:07 PM,11/Jul/25 12:34 PM,"15/Jul/25 7:07 PM;6317db979794410874c743c8;Se anexa la estimacion solicitada:

|ACTIVIDAD|HH|
|Crear nueva plantilla de Ingresos en CN con una hoja de condiciones generales en la ultima hoja|30|
|Pruebas y muestras|2|
|Instalacion QA|1|
|Instalacion PRD|1|
|Total|34|

Saludos",,,,,,,,,PSTC-27805,2719491
[MX][Estimacion][Reachcore][Seguros Atlas] PDF template modification - add OC field,"Cliente: Seguros Atlas

Producto: Reachcore

Servicio: Sovos eInvoice – Mexico Emisión



Solicitamos se agregue en el PDF de producción el nodo <AddendaFacturacion>,  ya que dicha información solo se visualiza dentro del xml.

!image-20250709-233203.png|width=212,height=71,alt=""image-20250709-233203.png""!

Anexo PDF como ejemplo, señalando la parte en la que requerimos se indique:

!image-20250709-233216.png|width=468,height=361,alt=""image-20250709-233216.png""!",Done,11/Jul/25 8:30 PM,09/Jul/25 7:32 PM,"11/Jul/25 8:30 PM;6317db979794410874c743c8;Se anexa la estimación solicitada

|ACTIVIDAD|HH|
|Agregar el campo Addenda Referenci IC debajo del ultimo campo del apartado poliza|1|
|Instalacion QA|0.5|
|Instalacion PRD|0.5|
|Total|2|",,,,,,,,,PSTC-27786,2716284
[CHILE][ESTIMACION] Boleta-135 UF: Nuevos campos mandatorios,"* Nombre Empresa: Apple
* NIT/RUT/RUC: 76203916-8
* Producto: FACTURA ELECTRONICA
* Tipo de Integración: FULL ASP
* PM asignado (si existe): [~accountid:60a73c1675e875006f4fabb1]
* Salesforce: Work estimations

 

  

|*Cúal es el cambio que requiere?*
# Cambio del flat file customizado para agregar nuevos campos requeridos cuando la Boleta exceda los 135 UF: <MedioPago> y <TelefonoRecep>
# Habilitar estos 2 campos en el modulo de Facturacion Manual para Boleta.
# Modificar el PDF para incluir de manera dinamica estos campos cuando sean incluidos en el flat file por parte de Apple. Es decir si <MedioPago> y <TelefonoRecep> no estan presente en el request no deben de aparecer en el PDF y viceversa.
# Acceso en SOVOS para cargar flat files para la generacion de documentos electronicos.
# Cual sera el tratamiento de las boletas que exceden 135 UF pero no incluyen los nuevos campos mandatorios?
 |

 

imagen de referencia

!trama.jpg|width=738,height=181,alt=""trama.jpg""!",Done,10/Jul/25 11:04 AM,08/Jul/25 2:46 PM,"08/Jul/25 4:26 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Configuracion tags boleta facturador manual (UAT/PRD)|1|
|Cambios en plantillas de boleta|4|
|instalacion plantillas|1|
|testing/hypercare|2|
|Total|8|",10/Jul/25 11:04 AM;61bbc05a2900b00071e8b5cc;considerar filtro personalizado,,,,,,,,PSTC-27770,2708955
[CL][PPL][Estimacion][Melon - Cambio logo plantillas],"Cliente: 1 RUT de Holding melon

* MELON S.A. 76109779-2

PM: [~accountid:5ebc5cf14e41b90b7b563350] 

Requerimiento:

Se solicita estimar las HH necesarias para cambiar el logo del rut mencionado

El logo a utilizar sera

!image.png|width=292,height=131,alt=""image.png""!

Considerar:

* Instalación en Ambientes QA y Productivo
* Cliente mixto con gateway POS y BO
* Logo en el portal Paperless, 
* Cliente posee plantillas en una subcarpeta llamada “hormigones”, el logo debe cambiarse tanto en las plantillas base como en la subcarpeta
* Creación de carpeta con el nuevo logo para uso en POS. Todo el contenido debe estar a nivel de la raíz del directorio, considerar logos y reports.
 Esta carpeta debe contener las siguientes plantillas:
** Cemento: Plantillas se encuentran en la raíz
*** 52_v4_sinced.jasper
*** 52_v4.jasper
*** 52_v5.jasper
** Hormigones: Plantillas se encuentran en la carpeta “hormigones”
*** 52_N_sinced.jasper
*** 52_N.jasper
*** 52_N2.jasper

Quedamos atentos, saludos!",Done,08/Jul/25 4:17 PM,08/Jul/25 1:40 PM,"08/Jul/25 4:16 PM;5ebc57aaf235020b843a6f2d;Esteban, 

para este cambio se necesita de lo siguiente:

||*ACTIVIDAD*||*HH*||
|Extracción de plantillas desde PRD|1|
|Modificación de templates|3|
|Ajustes|1|
|Muestras|1|
|Carga de plantillas en QA|1|
|Carga de plantillas en PRD|1|
|*TOTAL*|*8 HH*|

Saludos.-",,,,,,,,,PSTC-27765,2708868
[CL][PRD][AGUAS ANDINAS][Estimacion] [copia oculta en correos de SOVOS],"*Nombre Empresa*: holding
*NIT/RUT/RUC*: holding

|*Nombre*|*RUT/RUC/NIT*|
|Aguas Andinas S.A|61808000-5|
|Aguas Cordillera S.A|96809310-k|
|Aguas Manquehue S.A|89221000-4|

*Producto*: Invoiceware
*Tipo de Integración*: WS-SAP
*PM asignado*:  Hugo Binimelis
*Ambiente: QA+ PRD*

*Problema:* 

El cliente reporta reclamos por no recepción o retrasos en la entrega de boletas, por lo que contar con una copia de respaldo de los correos enviados es fundamental para fines de trazabilidad, auditoría y atención de reclamos.

 *Qué solicita?*:

Se requiere estimar una funcionalidad que permita generar una copia oculta de todos los correos electrónicos enviados desde la plataforma SOVOS a los receptores finales de los comprobantes.

El cliente cuenta con filtro personalizado 

Producto dio factibilidad segun ticket anexo",Done,07/Aug/25 7:04 PM,07/Jul/25 7:56 PM,07/Jul/25 8:00 PM;61bbc05a2900b00071e8b5cc;ticket factibilidad : [https://sovos.atlassian.net/browse/PPLCPSQ-804|https://sovos.atlassian.net/browse/PPLCPSQ-804|smart-link] ,"08/Jul/25 2:38 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Configuraciones UAT|1|
|pruebas UAT|1|
|Configuracion PRD|1|
|prueba y soporte|2|
|Total|5|",,,,,,,,PSTC-27758,2707405
CHILE - DERCO- ESTIMACION HHS MODIFICACION FILTRO PARA PASAR DE FTP A SFTP,"*Empresa:* Holding Derco
*Integracion*: Mixto BO

*Descripcion*
Se solicita estimar instalacion , configuraciones, acompañamiento en pruebas e Hypercare de cambios estimados en ticket [https://sovos.atlassian.net/browse/CESQ-3973|https://sovos.atlassian.net/browse/CESQ-3973] que hacen relacion con la modificación del protocolo de transporte de documentos recibidos en el GW pasando de FTP a SFTP 

*Consideraciones*

Considerar Instalacion en ambiente QA y PRD ( 2 GWs) ",Done,09/Jul/25 8:56 AM,07/Jul/25 6:20 PM,07/Jul/25 6:28 PM;5ebc59e0ed4a650b8e7ebd9d;Hola [~accountid:5ebc5e6cad226b0ba456526d] favor tu apoyo para la estimación de este requerimiento ,"09/Jul/25 8:56 AM;5ebc5e6cad226b0ba456526d;|Item|HH|
|configuracion e instalacion jar (QA/PRD)|3|
|testing/hypercare|2|
|Total|5|",,,,,,,,PSTC-27757,2707349
CHILE - AGUNSA - ESTIMACION HHS IMPLEMENTACION DTE EXPORTACION CMC ,"*Rut:* 90596000-8
*Empresa:* CMC Shipping

*Integracion*: Full ASP, generacion Manual  
*Documentos de Alcance* : Factura de Exportación, Nota de Credito Exportación 

*Descripcion*
Se solicita estimar hhs para implementacion de documentos de exportacion para rut de alcance , tareas: 

- Certificacion de Documentos 
- Incluir/configurar Factura Exportacion en filtro (xsl) 
- Incluir/configurar  NC Exportacion en facturador manual 
- creacion plantillas en base a plantillas de rut Agunsa (96566940-K) , solo se realizara cambio de logo 

!image-20250707-173900.png|width=1346,height=724,alt=""image-20250707-173900.png""!



*Consideraciones*
No se incluye Nota de Debito de Exportacion
Indicar tamaño/peso permitido para logo 
Considerar implementacion en ambiente QA/PRD
Considerar  acompañamiento en pruebas
Empresa actualmente instalada en Retail3 (PRD) y asp4qa (UAT) ",Done,09/Jul/25 8:51 AM,07/Jul/25 1:36 PM,07/Jul/25 2:52 PM;5ebc59e0ed4a650b8e7ebd9d;Hola [~accountid:5ebc5e6cad226b0ba456526d]. Favor tu apoyo para atender este requerimiento ,"09/Jul/25 8:51 AM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Creacion plantillas Exportacion|6|
|Certificacion Set de exportacion|7|
|Configuracion filtro|2|
|instalacion plantillas|1|
|testing/hypercare|2|
|Total|18|",,,,,,,,PSTC-27750,2706822
CHILE -  Ingenieria y Montaje Ferrovial -Estimacion HHS cambio en pantillas + implementacion factura de Compra ,"*Empresa*: 99526550-8
*Integracion*: Full ASP, generacion Manual  
*Documentos de Alcance* : Factura Afecta , Nota de Debito, Nota de Credito, Guia de Despacho , Factura de Compra 

*Descripcion*
Se solicita estimar hhs de trabajo para realizar el siguiente trabajo en documentos de alcance : 

1.- Modificacion en plantillas (todas en documentos de alcance generación BO y Manual)

!image-20250708-135012.png|width=778,height=280,alt=""image-20250708-135012.png""!

En giro deberia decir: TRANSPORTE DE CARGA POR CARRETERA -  VENTA AL POR MENOR DE VEHÍCULOS AUTOMOTORES NUEVOS O USADOS (INCLUYE COMPRAVENTA)

Cambiar Casa Matriz y sucursales a: 
Casa Matriz: AVENIDA RUTA DEL COBRE 484, SITIO LA NEGRA - ANTOFAGASTA - FONO 552-894200
Sucursal: IQUIQUE #5482 , ANTOFAGASTA
Sucursal: PANAMERICANA NORTE #16352, LAMPA, SANTIAGO
Sucursal: SITIO N 2 MANZANA #N, SITIO LA NEGRA - ANTOFAGASTA
Sucursal: RUTA A-65 PL 01401 #1012 BARRIO INDUSTRIAL, POZO ALMONTE, IQUIQUE
Sucursal: RUTA D-835 PARCELA #10, SALAMANCA

2.- Implementacion Factura de Compra 

* Certificacion en SII 
* Habilitacion en Facturador Manual 
* Creacion Plantillas , tomar como base plantilla de factura  (con cambios realizados en punto 1



3.- Aumentar capacidad de visualizacion de descripcion , cliente indica que tiene 85 y  les gustaría 230 caracters , actualmente envia el valor NmbItem que de acuerdo a SII tiene 80 caractares, pero cambiara a DescItem (SII permite 1000)

!image-20250708-134458.png|width=780,height=176,alt=""image-20250708-134458.png""!

!image-20250708-134919.png|width=433,height=151,alt=""image-20250708-134919.png""!

!image-20250708-135102.png|width=1435,height=101,alt=""image-20250708-135102.png""!

*Consideraciones*
Considerar implementacion en ambiente QA/PRD
Considerar  acompañamiento en pruebas 
Considerar fecha de corte 01 de Julio 2025
No se considera otro tipo de generación (ej: generación WS por ERP de cliente)
",Done,15/Jul/25 4:20 PM,07/Jul/25 1:20 PM,"08/Jul/25 5:08 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Cambios en plantillas|5|
|Certificacion Factura de compra|5|
|Creacion plantilla FC|2|
|instalacion plantillas|1|
|testing/hypercare|2|
|Total|15|",,,,,,,,,PSTC-27749,2706807
[CL][PRD][PPL] Estimacion -Direccion documentos cambios no dirigidos,"h2. Description

*Impact/Scope or issue:*

El cliente

|*Nombre*|*RUT/RUC/NIT*|
|Ingeniería y montaje ferrovial S.A.|99.526.550-8|

requiere :

El cliente reporta que desde hace un tiempo su direccion ha sufrido cambios pero la direccion de la casa matriz no ha cambiado 

*Release Version:PPL*

*Problem description & analysis:* 

Ejemplos Factura 11991, 11992, 11993, 12017, 12024, 12025 

{color:#bf2600}*Visual Proff / Evidences (logs, documentos, etc.):*{color}{color:#bf2600}  {color}*No corresponde la dirección “Cerro Colorado 5413 Piso 6” indicada a Ingeniería y montaje ferrovial S.A. necesitamos que diga “Avda. Ruta del cobre #484, Antofagasta, Antofagasta.*

*Steps to Reproduce the Issue:* 

-Validar por qué la direccion de los documentos ha cambiado

- confirmar cuantas horas puede tomar la rectificacion de este campo.

*Expert User:* {color:#97a0af}Luis Garcia{color}

*Expected Result:* {color:#97a0af}Incremento de lineas{color}",Done,08/Jul/25 4:54 PM,04/Jul/25 4:19 PM,"08/Jul/25 4:53 PM;5ebc5e6cad226b0ba456526d;Hola Stephanie la validacion de porque la visualizacion de los pdfs hab cambiado es parte de un analisis preliminar por el lado de soporte. Sin embargo te puedo entregar la estimacion para realizar el cambio. 

Para realizar este cambio se necesitan 4 HH (3 para realizar el cambio en los layouts y 1 para instalacion)

Saludos",,,,,,,,,PSTC-27740,2705559
